# years   Tmedium     Tmin            Tmax        Rain month
1955    6.3          -3.0             13.0            144
1956   -1.7          -12.0            11.0              2
1957    6.5           -6.0            16.0            141
1958    6.3           -4.0            14.0             93
1959    5.8           -5.0            22.0              0
1960    4.6           -5.0            18.0            185
1961    6.4           -1.0            17.0             30
1962    4.0           -6.0            13.0             62
1963    1.9          -11.0            12.0             97
1964    3.8           -6.0            14.0             62
1965    2.1           -6.0            10.0              4
1966    7.7           -1.0            16.0            101
1967    4.5           -7.0            15.0             62
1968    6.5           -3.0            16.0            258
1969    3.6           -7.0            14.0            151
1970    3.8           -7.0            12.0             40
1971    5.8           -6.0            15.0             67
1972    6.7           -2.0            14.0            112
1973    4.8           -5.8            16.0            120
1974    8.0            0.0            16.0            143
1975    5.8           -4.0            15.0              1
1976    5.7           -4.0            22.0            129
1977    7.6           -2.0            14.0            172
1978    3.9           -4.0            11.0            102
1979    5.9           -4.0            15.0             87
1980    6.0           -5.0            18.0             28
1981    4.0           -5.0            19.0             33
1982    3.4           -8.0            16.0             26
1983    2.6           -7.0            13.0             66
1984    4.4           -4.0            14.0             99
1985    3.2           -7.0            14.0             45
1986    2.2           -6.0            13.0             73
1987    5.1           -8.0            14.0            131
1988    6.3           -3.0            15.0             93
1989    7.2           -4.0            19.0             91
1990    7.3            0.0            21.0            30
1991    3.7           -9.4            21.2            75  
1992    4.9           -4.7            19.1            40
1993    4.7           -7.0            18.1            12
1994    4.7           -7.1            15.8            36  
1995    6.2           -2.0            15.0           175
1996    3.0           -6.6            15.6           102 
1997    5.8           -3.3            16.7            11
1998    8.1           -4.7            21.9            0
1999    3.6           -5.2            15.3            60
2000    5.8           -2.4            17.5            10
2001    6.2           -4.2            18.0            16 
2002    6.0           -2.2            15.0            97     
2003    3.4           -6.1            17.7            33
2004    3.9           -2.9            13.5            156
2005    3.4           -6.5            14.0            15
2006    4.8           -5.4            18.3            86
2007    8.1           -1.8            18.4            134
2008    6.0           -5.5            16.3            55
2009    5.4           -4.9            15.0            116
2010    5.6           -3.9            16.0            197
2011    6.4           -3.6            17.2            34
2012    2.8           -7.4            19.2            20
2013    4.7           -3.8            14.3            151
2014    8.7            2.4            16.6            302
2015    6.5           -2.7            15.9            10
2016    8.2            0.5            15.5            278
2017    7.4           -1.5            18.9            165
2018    4.2           -8.1            12.5            93
2019    8.2           -2.2            22.2            113
